d_pres_fav,r_pres_fav,vt_pres_2,vt_pres_4,vt_sen,vt_gov,likely,scale,partyid,sample,phoneuse,gender,educ,hisp,cuban,race,age,racer,turnout_score,turnout_class,region,rvweight,likelyyn,lvweight,file_race,file_party,file_county,file_age,state,poll,poll_id,file_vt16,file_vt14,file_vt12
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat",[DO NOT READ] Don't know/No opinion,,Almost certain,Ten (definitely will vote),Independent (No party),Landline,Landline and Cell Phone,Female,High school,No,,Caucasian/White,19,Caucasian/White,0.462207,Low,Philadelphia Suburbs,0.964152693748474,,0.704895408933938,White,Other,Chester,19,Pennsylvania,October,Pennsylvania October,1,0,0
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Democrat,Cell,Cell Phone only,Female,High school,Yes,,Caucasian/White,59,Hispanic/Latino,0.604263,Middle,Southeast,1.13963639736176,,0.914138252870381,Hispanic,Democratic,Berks,59,Pennsylvania,October,Pennsylvania October,1,0,0
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Democrat,Landline,Refused,Female,Bachelors' degree,No,,Caucasian/White,64,Caucasian/White,0.988018,High,West,1.03529047966003,,1.02908805439639,White,Democratic,Westmoreland,64,Pennsylvania,October,Pennsylvania October,1,1,1
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Landline,Landline and Cell Phone,Female,High school,No,,Caucasian/White,56,Caucasian/White,0.956988,High,Northeast,0.934250891208649,,0.914158891542315,White,Republican,Wayne,56,Pennsylvania,October,Pennsylvania October,1,0,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Democrat,Landline,Landline and Cell Phone,Female,Graduate or Professional degree,No,,Caucasian/White,58,Caucasian/White,0.99048,High,Philadelphia Suburbs,1.18249619007111,,1.17686750820637,White,Democratic,Bucks,58,Pennsylvania,October,Pennsylvania October,1,1,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Democrat,Cell,Landline and Cell Phone,Female,Grade school,Yes,,Caucasian/White,75,Hispanic/Latino,0.693663,Middle,Philadelphia,0.718817293643951,,0.608717127002448,Hispanic,Democratic,Philadelphia,75,Pennsylvania,October,Pennsylvania October,1,0,1
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Somewhat likely,Eight,Democrat,Landline,Landline and Cell Phone,Female,Some college or trade school,No,,Caucasian/White,59,Caucasian/White,0.924686,High,Philadelphia Suburbs,1.18249619007111,,0.546718836006045,White,Democratic,Bucks,59,Pennsylvania,October,Pennsylvania October,1,1,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Very likely,Ten (definitely will vote),Democrat,Landline,Landline and Cell Phone,Female,Bachelors' degree,No,,Caucasian/White,89,Caucasian/White,0.870496,High,West,1.13028168678284,,1.05709368700027,White,Democratic,Allegheny,89,Pennsylvania,October,Pennsylvania October,0,1,1
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Cell,Landline and Cell Phone,Female,High school,No,,Caucasian/White,66,Caucasian/White,0.991108,High,Southeast,1.12565398216248,,1.12064932455778,White,Republican,Dauphin,66,Pennsylvania,October,Pennsylvania October,1,1,1
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Landline,Landline and Cell Phone,Female,Bachelors' degree,No,,Caucasian/White,44,Caucasian/White,0.753037,Middle,Philadelphia Suburbs,1.28002655506134,,1.12196695600253,White,Republican,Bucks,44,Pennsylvania,October,Pennsylvania October,1,0,1
